Incident,City,Date,Entity,Location,Opposition Type,Severity,Source URL,State,County,Scope,Issue Category,Objective,Authority Level,Status,Community Outcome,Hyperscaler,Company,Project Name,Investment Million USD,Megawatts,Acreage,Sponsors,Opposition Groups,Summary,Sources,Opposition Website,Opposition Facebook,Opposition Instagram,Petition URL,Petition Signatures,data_source,lat,lon
Johnson County,Johnson County,2025-11-08,Undisclosed,"Johnson County, IA",moratorium,1,https://cbs2iowa.com/news/local/johnson-county-imposes-moratorium-on-data-centers-to-protect-resources-and-assess-impacts,IA,Johnson County,local,noise; water; zoning,Impose one-year moratorium on data center rezoning and permits in unincorporated Johnson County,county_commission,active,pending,,Undisclosed,,,,,,Sierra Club Iowa Chapter,"Johnson County Board of Supervisors unanimously approved a one-year moratorium on data center rezoning and permits in unincorporated areas on Nov. 8, 2025. The moratorium runs through November 8, 2026. The county is 3-4 months from finalizing a comprehensive ordinance addressing location, water usage, and facility size. While no firms had proposed building in Johnson County, the moratorium was adopted proactively given the regional surge in data center proposals.",https://cbs2iowa.com/news/local/johnson-county-imposes-moratorium-on-data-centers-to-protect-resources-and-assess-impacts; https://www.thegazette.com/local-government/johnson-county-board-of-supervisors-to-consider-data-center-moratorium/; https://insideclimatenews.org/news/01032026/iowa-county-data-center-ordinance/; https://dailyiowan.com/2025/11/06/joco-supervisors-discuss-possible-data-center-moratorium/; https://www.thegazette.com/local-government/johnson-county-looks-toward-future-beyond-data-center-moratorium/; https://www.sierraclub.org/sierra/fight-over-data-centers; https://www.sierraclub.org/iowa; https://www.sierraclub.org/issues/climate/data-centers,,,,,,,41.67,-91.5798
Tama County,Tama County,2025-11-10,Unknown,"Tama County, IA",moratorium,1,https://www.northtamatelegraph.com/news/local-news/2025/11/21/last-weeks-tama-county-supervisors-meeting/,IA,Tama County,local,zoning,Pause data centers in Tama County pending regulations,county_commission,active,pending,,,,,,,,,"Tama County Board of Supervisors approved moratoriums on both data mining/centers and battery storage on November 10, 2025. Applies to all proposed facilities regardless of size, technology, or location. Typo corrections made in follow-up meetings Nov 17-18. Key concerns driving this action include zoning concerns. The outcome remains pending.",https://www.northtamatelegraph.com/news/local-news/2025/11/21/last-weeks-tama-county-supervisors-meeting/; https://www.tamatoledonews.com/news/local-news/2025/11/21/fixing-typos-this-weeks-tama-county-supervisors-meeting/; https://tamacounty.iowa.gov/files/meetings/2025-11-17_minutes_7402.pdf,,,,,,,42.079,-92.577
Barberton,Barberton,2025-11-10,Quantum HPC,"Barberton, OH",moratorium,2,https://www.akron.com/articles/barberton-approves-open-ended-moratorium-on-data-centers/,OH,Summit County,local,zoning,Impose indefinite data centers moratorium after Quantum HPC proposal,city_council,active,win,,Quantum HPC,,,,90,,Norton and Barberton residents,"Barberton City Council approved an indefinite moratorium on data centers in November 2025. In neighboring Norton, Quantum HPC's Project Triton proposal for the old PPG mine on Limestone Drive was killed in October 2025 after a contentious town hall meeting on October 13, where the Quantum HPC founder made statements the city law director determined were not true. The developer informed the city the representative was no longer working for them, and the project was withdrawn. Around 18 Ohio municipalities have enacted or are considering data center moratoriums. [Validation 2026-06-19: outcome resolved to 'win' per https://www.akron.com/articles/barberton-approves-open-ended-moratorium-on-data-centers/.]",https://www.akron.com/articles/barberton-approves-open-ended-moratorium-on-data-centers/; https://www.wkyc.com/article/news/local/summit-county/norton-residents-push-back-proposed-data-center-quantum-hpc/95-bded910f-b3ba-496f-8a62-f41b5a0506c0; https://www.thebarbertongazette.com/2025/10/17/norton-data-center-proposal-withdrawn/; https://www.akron.com/articles/norton-city-council-rejects-data-centers/; https://www.thebarbertongazette.com/2025/10/17/norton-data-center-proposal-withdrawn/,,,,https://www.change.org/p/stop-construction-of-project-triton-in-norton-and-barberton-residential-areas,1680,,41.0128,-81.6051
Mitchell County,Mitchell County,2025-11-25,Unknown,"Mitchell County, IA",moratorium,1,https://mitchellcounty.iowa.gov/wp-content/uploads/Board-Proceedings-11-12-25.pdf,IA,Mitchell County,local,zoning,Pause data centers and solar in Mitchell County pending regulations,county_commission,active,pending,,,,,,,,,"Mitchell County approved moratoriums on utility-scale solar (Resolution #1326-25, Nov 12, 2025, unanimous) and data centers until Dec 31, 2026 (Resolution #1336-25, Nov 25, 2025, 4-1 vote). Supervisor Wherry was the key proponent. The county also has ongoing disputes about the Salt Creek Wind project.",https://mitchellcounty.iowa.gov/wp-content/uploads/Board-Proceedings-11-12-25.pdf; https://mitchellcounty.iowa.gov/wp-content/uploads/Board-Proceedings-11-25-25.pdf; https://insideclimatenews.org/news/01032026/iowa-county-data-center-ordinance/,,,,,,,43.357,-92.789
City of Hamilton,City of Hamilton,2025-11-12,Logistix,"City of Hamilton, OH",public_comment,1,https://www.wvxu.org/environment/2025-12-03/developers-data-center-butler-county,OH,Butler County,local,community_impact; grid_energy,Petition to block Logistix data center in Hamilton Township,township_board,active,pending,,Logistix,Hamilton Innovation Center,1000,240,29,,Coalition Against Data Centers in South Ohio,"Hamilton City Council Chambers were packed on Nov. 12 with residents voicing concerns about Logistix's proposed Hamilton Innovation Center, a 240 MW, 320,000 sq ft data center on 29 acres. Resident Teri Cunningham created the Coalition Against Data Centers in South Ohio Facebook group with 600+ members. Citizens circulate petitions, create yard signs, and speak at biweekly council meetings. The proposal remains under review. The project involves $1B investment.",https://www.wvxu.org/environment/2025-12-03/developers-data-center-butler-county; https://www.daytondailynews.com/local/life-changing-decision-data-center-growth-fuels-fears-in-local-communities/FQ4JYJCGSVG7TBF7C7A2GR6SVA/; https://www.datacenterdynamics.com/en/news/logistix-gets-planning-commission-approval-for-data-center-project-outside-cincinnati-ohio/; https://local12.com/news/local/plans-1-billion-cincinnati-hamilton-ohio-data-center-advance-despite-environmental-energy-concerns-bills-usage-cost-customers-residents-logistix-property-group-consumption-natural-gas-hydroelectric-solar-wind-generators-technology-hub-tech-computers; https://www.thebcfa.org/ignitebutler/featured-news-articles/p/item/64490/1b-hyperscale-data-center-could-break-ground-in-city-of-hamilton-in-2026; https://www.wcpo.com/hamilton-ohio-data-center-city-council-meeting-october,,https://www.facebook.com/groups/coalitionagainstdatacenters,,,,,39.3212,-84.3505
Great Falls,Great Falls,2025-11-17,TAC Data Centers,"Great Falls, MT",project_withdrawal,1,https://dailymontanan.com/2025/11/17/data-center-pulls-out-of-great-falls-group-says-others-charge-ahead/,MT,Cascade County,local,grid_energy; ratepayer,TAC Data Centers withdraws from 569-acre Great Falls project,developer,cancelled,win,,TAC Data Centers,,,600,569,,Upper Missouri Waterkeeper,"TAC Data Centers pulled out of its option to lease 569 acres adjacent to the AgriTech Park in Great Falls, Montana in November 2025, ending a $1-1.5 billion, 2-million-square-foot, 600 MW campus plan known as Project Cardinal. The project would have demanded up to 600 MW by 2030 — approximately 88% of what Montana's existing NorthWestern Energy customers use. TAC's subsidiary Ardent Tech said it could not proceed without NorthWestern Energy's cooperation in securing sufficient power supply.",https://dailymontanan.com/2025/11/17/data-center-pulls-out-of-great-falls-group-says-others-charge-ahead/; https://theelectricgf.com/2025/06/17/gfda-announces-1-billion-proposed-data-center-project/; https://montanafreepress.org/2025/06/24/for-massive-great-falls-data-center-proposal-energy-supply-is-crucial-to-push-project-forward/,,,,,,,47.507,-111.283
Montana (statewide),Montana (statewide),2025-11-18,NorthWestern Energy,"Montana (statewide), MT",lawsuit,1,https://dailymontanan.com/2026/02/23/eleven-data-center-developers-in-talks-with-northwestern-group-says/,MT,Judith Basin County,statewide,ratepayer; transparency,File PSC complaint over NorthWestern shifting costs to residents,utility_commission,active,pending,,NorthWestern Energy,,,,,Earthjustice,Montana Environmental Information Center; Earthjustice; Big Sky 55+; Butte Watchdogs for Social and Environmental Justice; Climate Smart Missoula; Golden Triangle Resource Council; Helena Interfaith Climate Advocates; Honor the Earth; Montana Public Interest Research Group; NW Energy Coalition,"Nine Montana nonprofits filed a PSC complaint to stop NorthWestern Energy from shifting data center infrastructure costs to 413,000+ residential customers. NWE signed Letters of Intent with 11 data center developers for up to 1,400 MW without regulatory approval. In March 2026, Earthjustice challenged a PSC protective order shielding LOI details, arguing NWE hasn't shown trade secret qualification. The complaint is ongoing. The project involves 5,000 acres.",https://dailymontanan.com/2026/02/23/eleven-data-center-developers-in-talks-with-northwestern-group-says/; https://earthjustice.org/press/2025/groups-file-complaint-to-stop-northwestern-energy-from-shifting-data-center-costs-to-residential-customers; https://montanafreepress.org/2025/11/18/groups-push-back-on-montanas-data-center-boom/; https://earthjustice.org/press/2026/groups-challenge-montana-psc-order-that-shields-data-center-plans-from-public-view,,https://www.facebook.com/MTEIC,,,,,46.5891,-112.0391
Butte,Butte,2026-06-18,Atlas Power / Sabey Data Center Properties,"Butte, MT",public_comment,1,https://montanafreepress.org/2025/11/18/groups-push-back-on-montanas-data-center-boom/,MT,Silver Bow County,local,community_impact; environmental; grid_energy; noise; ratepayer; water,Organize coalition against Atlas Power data center in Butte,city_council,pending,pending,,Atlas Power / Sabey Data Center Properties,,1750,250,600,,Montana Environmental Information Center; Butte Watchdogs for Social and Environmental Justice; Big Sky 55+; Climate Smart Missoula; Golden Triangle Resource Council; Helena Interfaith Climate Advocates; Honor the Earth; Montana Public Interest Research Group; NW Energy Coalition,"Sabey Data Centers proposed two 500,000 sq ft buildings (1M sq ft total) on over 600 acres at Montana Connections Industrial Park in Butte, MT (Silver Bow County), requiring 325 MW of power and water-based cooling. Atlas Power's existing Butte facility (former Mike Mansfield Advanced Tech Center, formerly CryptoWatt) operates at 75 MW air-cooled and is in 'contractual estimate' stage with NorthWestern Energy for 75 MW more by 2026, growing another 75 MW over the subsequent 3-5 years. Atlas plans to expand its flagship operation. NorthWestern is reportedly in talks with 11 separate data center developers as of February 2026, raising concerns about water impacts and ratepayer cost shifts. [Update 2026-06-22: The 'Butte Data Center Initiative' (led by realtor Denise Kelly via nonprofit 406 People First) is in the signature-gathering phase; it would require two-thirds voter approval via special election before any data center is built or expanded in Butte-Silver Bow. As of June 18, 2026, organizers had ~1,500 of the 3,652 signatures needed (15% of registered...]","https://montanafreepress.org/2025/11/18/groups-push-back-on-montanas-data-center-boom/; https://meic.org/data-centers/; https://dailymontanan.com/2026/02/23/eleven-data-center-developers-in-talks-with-northwestern-group-says/; https://nbcmontana.com/news/local/proposed-butte-data-center-stirs-debate; https://meic.org/not-so-fast-groups-warn-of-downsides-to-potential-data-centers-in-butte/; https://meic.org/; {'url': 'https://montanafreepress.org/2026/06/18/how-some-montanans-are-taking-data-center-regulation-into-their-own-hands/', 'title': 'How some Montanans are taking data center regulation into their own hands — Montana Free Press'}",,https://www.facebook.com/MTEIC,,,,,46.0038,-112.5348
Pittsfield Township,Pittsfield Township,2025-11-18,Unknown,"Pittsfield Township, MI",moratorium,2,https://www.wemu.org/wemu-news/2025-11-17/pittsfield-township-to-vote-on-data-center-moratorium,MI,Washtenaw County,local,zoning,Impose 180-day data centers moratorium in Pittsfield Township,township_board,active,pending,,,,,,,,Michiganders Against Data Centers,"Pittsfield Township enacted a 180-day data center moratorium in November 2025 — one of at least 27 Michigan communities to do so. Township representative Morgan Foreman is co-sponsoring the bipartisan three-bill data center moratorium package introduced by Michigan lawmakers in late February 2026 (Reps. Wortz, Fox, and Wegela). The 'Data Center Regulation Act' would prohibit new data centers from receiving state or local permits or commencing operations until April 1, 2027. However, the moratorium legislation faces uncertain prospects under Speaker Matt Hall and Gov. Gretchen Whitmer.",https://www.wemu.org/wemu-news/2025-11-17/pittsfield-township-to-vote-on-data-center-moratorium; https://thesalinepost.com/g/saline-mi/n/349655/pittsfield-township-considers-moratorium-approval-data-centers; https://www.wkar.org/wkar-news/2026-02-27/michigan-data-center-tracker-moratoria-legislation-and-grid-impact; https://titletrackmichigan.org/datacenters/; https://www.change.org/p/ban-ai-data-centers-in-michigan,,https://www.facebook.com/groups/1370478521101998,,https://www.change.org/p/ban-ai-data-centers-in-michigan,18791,,42.223,-83.737
Sullivan County,Sullivan County,2025-11-20,Unknown,"Sullivan County, TN",moratorium,1,https://heraldcourier.com/news/article_9b6dc9dc-7dee-4370-a502-5ac8fb794474.html,TN,Sullivan County,local,grid_energy; zoning,Impose 4-month crypto mining moratorium in Sullivan County,county_commission,pending,win,,,,,,,,,"Sullivan County Commissioner Jessica Means introduced a 4-month moratorium resolution on data mining and crypto mining centers on November 20, 2025. The commission deferred the vote at their December meeting. Subsequently, a major data center project was announced for Sullivan County (Indiana, near Merom Generating Station / Heartland Industrial Park, 1,000+ acres). Phase 1: $20B investment, 750 peak construction jobs, 125 permanent jobs. Phase 2: $45B, 2,000 peak construction jobs, 375 permanent. Project includes seven buildings and two end users. Community benefit package includes $25M to the county per phase plus $4.5M for local programs (Brownbaggers School Food, Merom Camp, Sullivan County Park and Lake). [Validation 2026-06-19: outcome resolved to 'win' per https://www.wjhl.com/news/local/sullivan-county-commission-votes-to-create-zoning-district-for-data-centers/.]",https://heraldcourier.com/news/article_9b6dc9dc-7dee-4370-a502-5ac8fb794474.html; https://timesnews.net/news/340782/data-center-discussions-develop-around-region/,,,,,,,36.514,-82.304
Howell Township,Howell Township,2025-11-20,Meta,"Howell Township, MI",moratorium,2,https://planetdetroit.org/2025/12/billion-dollar-data-center-paused/,MI,Livingston County,local,community_impact; zoning,Halt data centers in Howell Township after Meta proposal,township_board,cancelled,win,Meta,Meta,,1000,,1000,,Stop the Data Centers Livingston County; Livingston County Residents for Responsible Development,"Township enacted a unanimous six-month moratorium on Nov. 20, 2025 after ~2 hours of public comment. Trustee Bob Wilson confirmed Meta was behind the project, estimating a $9B investment and the center occupying at least 20% of the 1,000-acre space. The group 'Stop the Data Centers Livingston County' said the moratorium as passed did not apply to the current developer. In December 2025, the developers withdrew the rezoning request, stating they wanted to 'honor the current moratorium.' FracTracker Alliance celebrated the withdrawal as a community win. Developer withdrew $1B project after resident outcry, but moratorium remains in effect while township drafts zoning rules. The project involves 1,000 acres.",https://planetdetroit.org/2025/12/billion-dollar-data-center-paused/; https://michiganadvance.com/2025/11/21/local-michigan-township-trustee-says-meta-is-behind-data-center-project-planned-near-howell/; https://planetdetroit.org/2025/11/meta-data-center-howell-township/; https://www.fractracker.org/2026/01/howell-township-data-center-win/; https://michiganadvance.com/2025/12/08/rezoning-request-for-rural-michigan-data-center-project-pulled-from-consideration/; https://www.change.org/p/stop-the-construction-of-michigan-s-largest-data-center-in-howell; https://www.datacenterdynamics.com/en/news/meta-reportedly-the-company-behind-1bn-data-center-in-howell-county-michigan/; https://www.wilx.com/2025/11/21/meta-is-behind-proposed-howell-twp-data-center-trustee-says/,https://www.livcoaction.org/,,,https://www.change.org/p/stop-the-construction-of-michigan-s-largest-data-center-in-howell,3873,,42.6075,-83.9294
Vicksburg,Vicksburg,2025-11-20,Amazon/AWS,"Vicksburg, MS",public_comment,1,https://mississippitoday.org/2025/11/20/amazon-data-center-warren-county-mississippi/,MS,Warren County,local,community_impact; environmental; transparency; water,Oppose Amazon data center over water in Vicksburg,city_council,active,loss,Amazon/AWS,Amazon/AWS,,3000,,175,,Vicksburg Residents Against Data Center (ad hoc),"Amazon/AWS announced a $3 billion data center campus near the Port of Vicksburg on Nov 20, 2025, after 2.5 years of secret development behind NDAs. Community forums revealed widespread concern about transparency, water usage, and environmental impacts. The project was named one of 2025's 'Worst Economic Development Deals.' Opposition is ongoing. The project involves 175 acres. [Validation 2026-06-19: outcome resolved to 'loss' per https://mississippitoday.org/2026/06/09/amazon-data-centers-electric-bills/.]",https://mississippitoday.org/2025/11/20/amazon-data-center-warren-county-mississippi/; https://www.datacenterdynamics.com/en/news/amazon-to-build-3bn-data-center-campus-in-vicksburg-mississippi/; https://www.entergy.com/news/next-phase-of-superpower-mississippi-builds-highly-efficient-more-cost-effective-power-generation-source-in-vicksburg,,,,,,,32.352,-90.878
Marshall County,Marshall County,2026-04-20,Undisclosed,"Marshall County, IN",ordinance; zoning_restriction; moratorium,1,https://www.datacenterwatch.org/report,IN,Marshall County,local,community_impact; zoning,Halt data centers in Marshall County after Undisclosed proposal,county_commission,passed,win,,Undisclosed,,,,,,Citizens Action Coalition,"On April 20, 2026, Marshall County Commissioners voted to enact a permanent ban on data centers across the county, replacing the prior one-year moratorium. The action is reported as the first permanent county-level data center ban in Indiana. Commissioners simultaneously approved a 1,320-foot setback for battery energy storage systems and advanced first reading on solar farm rules capping panel area at five acres. Commissioner Jesse Bohannon said the county worked on protections for 'the last year and a half.' Marshall County had passed the original moratorium in early February 2025.",https://www.datacenterwatch.org/report; https://www.govtech.com/products/residents-push-indiana-community-toward-halt-on-data-centers; https://dailyjournal.net/2025/11/24/3-counties-put-moratoriums-on-data-center-projects/; https://www.inkfreenews.com/2025/11/26/three-indiana-counties-pass-data-center-moratoriums/; https://www.ibj.com/articles/3-counties-put-moratoriums-on-data-center-projects; https://www.giant.fm/marshall-county/news/local-news/marshall-county-commissioners-move-to-ban-industrial-solar-farms-and-data-centers/; https://www.citact.org/about; https://www.insideindianabusiness.com/articles/3-counties-put-moratoriums-on-data-center-projects; https://www.wsbt.com/news/local/marshall-county-approves-permanent-ban-on-data-centers-effective-immediately-data-centers-solar-farms-industrial-size-projects-development-county-council-regulations-counties-experts-industries-marshall-county-indiana; https://www.wndu.com/2026/04/20/marshall-county-commissioners-ban-data-centers-limit-solar-projects/; https://www.953mnc.com/2026/04/21/marshall-county-approves-permanent-ban-on-data-centers/,,https://www.facebook.com/cacindiana,,,,,41.3234,-86.27
Clarksville,Clarksville,2025-11-25,Serverfarm,"Clarksville, AR",public_comment,1,https://www.arkansasonline.com/news/2025/nov/25/data-center-builder-preparing-1-billion-project/,AR,Johnson County,local,community_impact; grid_energy; water,Petition to block Serverfarm data center in Clarksville,city_council,approved,loss,,Serverfarm,SF ARK1,8000,318,135,,Clarksville area residents,"Serverfarm acquired 135 acres through subsidiary SF ARK1 LLC, north of the water treatment plant on Palmer Road in Clarksville, Arkansas. Plans call for six buildings totaling over 2 million sq ft with 318 MW capacity. The project could cost $8 billion at full build-out. Residents are calling for a pause and public hearing, stating 'Arkansas land, water, and communities are not for sale.' Despite a Change.org petition, the city has approved the project.",https://www.arkansasonline.com/news/2025/nov/25/data-center-builder-preparing-1-billion-project/; https://www.change.org/p/stop-the-mega-data-center-in-clarksville-arkansas; https://www.datacenterdynamics.com/en/news/serverfarm-targets-135-acre-data-center-campus-in-arkansas/; https://www.thegraphic.org/2026/03/03/air-permit-required-for-proposed-data-center-state-records-detail-generator-plans-as-site-clearing-continues/,,,,https://www.change.org/p/stop-the-mega-data-center-in-clarksville-arkansas,287,,35.4715,-93.4666
Wilmington,Wilmington,2025-11-26,Amazon/AWS,"Wilmington, OH",zoning_restriction; lawsuit,2,https://www.datacenterdynamics.com/en/news/wilmington-city-council-postpones-vote-on-aws-data-center-in-southwest-ohio/,OH,Clinton County,local,community_impact; contract_guarantees; design_standards; environmental; grid_energy; noise; tax_incentive; transparency; water; air_quality,Require use permit for Amazon/AWS data center in Wilmington,city_council,active,pending,Amazon/AWS,Amazon/AWS,,4000,1500,471,,Wilmington Residents for Responsible Development (WRRD),"Amazon/AWS proposed a $4B datacenter on 471 acres in Wilmington with a 30-year, 100% property tax abatement (effective 70% abatement). On April 23, 2026, Wilmington residents Jessica Sharp and Logan Sharp filed a lawsuit against the City of Wilmington, alleging officials failed to give proper notice to residents about the development. The lawsuit specifically targets the zoning text amendment that made data centers a permitted use in light industrial zones, plus the map amendment for the parcel. Plaintiffs plan to seek an injunction halting all project progress while litigation is pending. Jessica Sharp organized 'Wilmington Residents for Responsible Development' (WRRD), which grew to nearly 3,000 members.",https://www.datacenterdynamics.com/en/news/wilmington-city-council-postpones-vote-on-aws-data-center-in-southwest-ohio/; https://www.wcpo.com/news/local-news/4-billion-amazon-data-center-proposal-in-wilmington-advances-to-next-stage-residents-want-pause; https://policymattersohio.org/news/2026/01/07/amazon-data-center-proposal-a-bad-deal-for-wilmington/; https://www.wnewsj.com/2026/01/05/wilmington-group-calls-for-added-protections-in-proposed-aws-data-center-project/; https://www.wcpo.com/news/local-news/wilmington-delays-amazon-data-center-approval-after-resident-outcry-more-public-input-slated; https://www.wnewsj.com/2026/02/25/wilmington-group-seeks-signatures-to-halt-data-center-development/; https://local12.com/news/local/clinton-county-wilmington-residents-for-responsible-development-hold-town-hall-response-proposed-billion-billions-dollars-money-data-center-tech-technology-power-grid-noise-pollution-bills-environment-city-council-job-creation-jobs-cincinnati; https://wilmingtondatacenter.org/; https://www.wnewsj.com/2025/12/03/officials-detail-4b-aws-data-center-proposal-infrastructure-plans/; https://www.datacenterdynamics.com/en/news/aws-data-center-project-tabled-in-wilmington-ohio/; https://www.change.org/p/prevent-ai-data-center-development-in-wilmington-oh; https://www.wyso.org/news/2025-12-02/amazon-proposes-4b-data-center-in-wilmington-seeks-tax-abatement; https://www.wnewsj.com/2025/11/21/protest-planned-ahead-of-council-vote-on-proposed-amazon-data-center/; https://www.chooseclintoncountyoh.org/news/data-center-faqs; https://www.wnewsj.com/2025/12/18/officials-address-water-power-concerns-at-data-center-town-hall/; https://www.wnewsj.com/2026/03/12/wilmington-planning-commission-tables-data-center-zoning-amendment/; https://www.wnewsj.com/2026/02/20/council-approves-rezonings-in-a-split-vote-amid-data-center-debate/; https://www.whio.com/news/local/another-500-acres-land-zoned-second-data-center-wilmington/KXXP722G6ZD4LMQV2Z6U4UJUQE/; https://www.fox19.com/2026/04/23/tri-state-residents-take-legal-action-halt-proposed-amazon-data-center/; https://www.wnewsj.com/2026/04/23/residents-file-lawsuit-over-proposed-aws-data-center-in-wilmington/,https://wilmingtondatacenter.org/,,,https://www.change.org/p/prevent-ai-data-center-development-in-wilmington-oh,2925,,39.4453,-83.8285
Hogansville (Troup County),Hogansville (Troup County),2025-11-26,Fertile Ground Investments,"Hogansville (Troup County), GA",public_comment,1,https://www.gpb.org/news/2025/11/26/why-are-troup-county-residents-saying-no-600-mw-data-center-in-hogansville,GA,Troup County,local,community_impact; grid_energy; ratepayer; transparency; water; property_values,Propose data centers moratorium after Fertile Ground Investments proposal,city_council,active,pending,,Fertile Ground Investments,Hogansville Data Center,,600,437,,Troup County Anti-Data Center Coalition,"Hogansville City Council approved a 90-day moratorium halting all data center applications, including Fertile Ground Investments' proposal for a 600 MW data center on 437 acres of the city's old sprayfield property on Hightower Road. The developer had until March 2026 to present a proposal contingent on rezoning from residential to industrial. The project would bring ~$400K/year in tax revenue but only 30-35 jobs. Residents expressed concerns about property values, water consumption, energy costs, and utility bill increases.",https://www.gpb.org/news/2025/11/26/why-are-troup-county-residents-saying-no-600-mw-data-center-in-hogansville; https://www.ajc.com/news/business/massive-97-billion-data-center-proposed-in-troup-county/V7BUTU4FJ5GHRJDIN2XFJ4AWXM/; https://www.fox5atlanta.com/news/data-center-campus-proposed-troup-county-jobs; https://www.lagrangenews.com/2025/03/13/9-7-billion-data-center-project-proposed-in-troup-county/; https://www.lagrangenews.com/news/hogansville-approves-90-day-moratorium-for-data-centers-9d59b175,,,,,,,33.1715,-84.9133
Monroe County,Monroe County,2025-12-01,Otis Ingram (Bolingbroke Technology Campus),"Monroe County, GA",moratorium,2,https://www.13wmaz.com/article/news/local/forsyth-monroe/monroe-county-passes-data-center-moratorium-will-review-potential-limitations/93-195cbb55-5a2a-4f29-879f-c0f3f859aef2,GA,Monroe County,local,community_impact; design_standards; farmland; traffic; water; zoning,Impose moratorium on data centers in Monroe County after rejecting $5.8B Bolingbroke campus,county_commission,passed,win,,Otis Ingram (Bolingbroke Technology Campus),,5800,1100,900,,Save High Falls Lake; Sierra Club Georgia Chapter,"Monroe County passed a data center moratorium on unincorporated land after commissioners unanimously rejected the 900-acre, $5.8 billion Bolingbroke Technology Campus. Nearly 900 residents packed the county meeting to challenge the project, citing traffic, water use, and industrialization of rural land. The property owner subsequently sued the county. The project involves the Charles Ingram proposal, 1100 MW capacity. (Google hyperscaler attribution is unverified and has been removed.)",https://www.13wmaz.com/article/news/local/forsyth-monroe/monroe-county-passes-data-center-moratorium-will-review-potential-limitations/93-195cbb55-5a2a-4f29-879f-c0f3f859aef2; https://www.13wmaz.com/article/news/local/forsyth-monroe/monroe-residents-prepared-to-fight-58b-data-center-project-in-bolingbroke/93-03be2ea5-cad3-4a3b-acc5-6369a3c93c20; https://www.datacenterdynamics.com/en/news/900mw-data-center-campus-proposed-outside-macon-georgia/; https://www.gpb.org/news/2025/07/29/monroe-county-data-center-loses-zoning-vote-in-face-of-community-opposition; https://www.gpb.org/news/2025/08/06/despite-the-promise-of-millions-of-dollars-every-year-monroe-county-says-no-data; https://www.sierraclub.org/georgia/datacenters,,https://www.facebook.com/groups/savehighfallslake/,,https://www.change.org/p/protect-high-falls-lake-the-towaliga-watershed-from-data-center-industrial-development,14442,,33.0154,-83.9177
Athens-Clarke County,Athens-Clarke County,2026-04-09,FAE Clark LLC (end-user unknown),"Athens-Clarke County, GA",moratorium; zoning_restriction,1,https://www.wuga.org/local-news/2025-12-03/acc-commission-pauses-new-data-centers-manager-says-athena-studios-data-center-would-need-rezone,GA,Clarke County,local,design_standards; environmental; transparency; zoning,Propose data centers moratorium after FAE Clark (end-user unknown) proposal,county_commission,passed,win,,FAE Clark LLC (end-user unknown),,,,233,,Sierra Club Georgia Chapter,"Athens-Clarke County Commission originally imposed an emergency moratorium on data centers in December 2025, extended it to June 5, 2026, and used the time to develop permanent regulations. On April 9, 2026, the Commission voted to lift the moratorium and replace it with a permanent zoning ordinance requiring: data centers only in heavy industrial zones, mandatory closed-loop cooling systems (reducing water use), and reporting requirements for water and energy consumption.",https://www.wuga.org/local-news/2025-12-03/acc-commission-pauses-new-data-centers-manager-says-athena-studios-data-center-would-need-rezone; https://www.datacenterdynamics.com/en/news/permission-denied-to-data-center-in-athens-clarke-county-georgia-talks-of-a-potential-moratorium/; https://nowhabersham.com/athens-commission-calls-for-moratorium-on-data-centers-after-potential-hyperscale-project-denied/; https://athenspoliticsnerd.com/commission-places-temporary-ban-on-new-data-centers-in-athens/; https://flagpole.com/news/news-features/2026/02/25/athens-clarke-county-commissioners-want-to-outright-ban-data-centers/; https://www.wuga.org/local-news/2026-03-02/mayor-and-commission-vote-on-data-center-moratorium-extension; https://athenspoliticsnerd.com/acc-commission-prepares-to-regulate-data-centers-as-strongly-as-legally-allowed/; https://www.redandblack.com/athensnews/athens-mayor-and-commission-votes-to-extend-data-center-moratorium/article_5c1abc8b-78a1-4dc2-8b92-5772e98a2941.html; https://www.sierraclub.org/georgia/datacenters; https://flagpole.com/news/city-dope/2026/03/11/athens-clarke-county-commission-extends-moratorium-on-data-centers/; https://www.wuga.org/local-news/2026-04-09/athens-clarke-county-data-center-ban-lifted-replaced-with-ordinance,,,,,,,33.9519,-83.3576
