Incident,State,County,Date,qc_mechanism,status_clean,bill_progress,outcome_overstated,Community Outcome,outcome_defensible,finality_evidence,outcome_conflict_reason,suggested_resolution,Source URL
Memphis (xAI Colossus Water Recycle Plant indefinite pause),TN,Shelby County,2026-04-09,project_denial,pending,,False,loss,advanced_unverified,outcome_label_only,finality rests on the recorded outcome alone (no independent status/stage evidence),"Re-check the source: if the action reached a formal disposition, set Status to the terminal value (passed/denied/withdrawn/etc.); the grade will upgrade automatically on the next pipeline run.",https://www.actionnews5.com/2026/04/09/xai-pauses-plans-build-water-recycling-plant-memphis/
"Jonesborough Board of Mayor and Aldermen, TN",TN,Washington,2026-05-11,other,pending,,False,win,blocked_unverified,outcome_label_only,finality rests on the recorded outcome alone (no independent status/stage evidence),"Re-check the source: if the action reached a formal disposition, set Status to the terminal value (passed/denied/withdrawn/etc.); the grade will upgrade automatically on the next pipeline run.",https://writing.strisker.com/data-centers-daily-notes-may-11-2026/
Sulphur Springs,TX,Hopkins County,2025-10-01,litigation,active,,False,win,blocked_unverified,outcome_label_only,finality rests on the recorded outcome alone (no independent status/stage evidence),"Re-check the source: if the action reached a formal disposition, set Status to the terminal value (passed/denied/withdrawn/etc.); the grade will upgrade automatically on the next pipeline run.",https://www.kltv.com/2026/02/10/judge-denies-major-motion-city-sulphur-springs-data-center-lawsuits/
Lufkin,TX,Angelina County,2026-06-10,disclosure,active,,False,loss,advanced_unverified,outcome_label_only,finality rests on the recorded outcome alone (no independent status/stage evidence),"Re-check the source: if the action reached a formal disposition, set Status to the terminal value (passed/denied/withdrawn/etc.); the grade will upgrade automatically on the next pipeline run.",https://www.lufkindailynews.com/news/local/vote-them-out-protesters-clash-with-lufkin-leaders-over-ai-data-centers/article_4c78ea61-0d25-5260-b5c1-2263a49ce8dd.html
US EPA (Clean Air Act NSR 'Begin Actual Construction' proposed rule),US,,2026-06-29,legislation,pending,,False,loss,advanced_unverified,outcome_label_only,finality rests on the recorded outcome alone (no independent status/stage evidence),"Re-check the source: if the action reached a formal disposition, set Status to the terminal value (passed/denied/withdrawn/etc.); the grade will upgrade automatically on the next pipeline run.",https://insideclimatenews.org/news/11052026/epa-proposes-looser-construction-rules-for-gas-plants-data-centers/
U.S. Environmental Protection Agency,US,,2026-07-07,legislation,pending,,False,loss,advanced_unverified,outcome_label_only,finality rests on the recorded outcome alone (no independent status/stage evidence),"Re-check the source: if the action reached a formal disposition, set Status to the terminal value (passed/denied/withdrawn/etc.); the grade will upgrade automatically on the next pipeline run.",https://www.federalregister.gov/documents/2026/07/07/2026-13667/minor-new-source-review-program-air-permitting-public-participation-requirements-for-state
Santaquin,UT,Utah County,2025-12-01,disclosure,active,,False,loss,advanced_unverified,outcome_label_only,finality rests on the recorded outcome alone (no independent status/stage evidence),"Re-check the source: if the action reached a formal disposition, set Status to the terminal value (passed/denied/withdrawn/etc.); the grade will upgrade automatically on the next pipeline run.",https://www.ksl.com/article/51442989/
Sheboygan,WI,Sheboygan County,2025-07-01,infrastructure_opposition,active,,False,loss,advanced_unverified,outcome_label_only,finality rests on the recorded outcome alone (no independent status/stage evidence),"Re-check the source: if the action reached a formal disposition, set Status to the terminal value (passed/denied/withdrawn/etc.); the grade will upgrade automatically on the next pipeline run.",https://www.tmj4.com/news/sheboygan-county/sheboygan-residents-raise-concerns-about-speculated-data-center-amid-land-deal-city-denies-data-center
California,CA,,2026-02-04,legislation,active,introduced,False,loss,advanced_unverified,none,recorded outcome 'loss' without finality evidence,"Same as above, for records coded as the project advancing.",https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202520260SB978
Georgia (HB 559 tax exemption sunset),GA,,2026-02-01,legislation,passed_one_chamber,passed_one_chamber,False,loss,advanced_unverified,none,recorded outcome 'loss' without finality evidence,"Same as above, for records coded as the project advancing.",https://www.legis.ga.gov/legislation/73559
"Illinois General Assembly (POWER Act SB 4016, Sen. Rose SB 4004 Mahomet Aquifer moratorium, Pritzker tax-credit pause)",IL,,2026-05-01,legislation,active,,False,loss,advanced_unverified,none,recorded outcome 'loss' without finality evidence,"Same as above, for records coded as the project advancing.",https://www.stlpr.org/health-science-environment/2026-05-01/illinois-lawmakers-debate-data-center-regulations-in-response-to-growing-energy-and-water-use-concerns
Missouri Legislature (data center hearings on risks/rewards and energy demand),MO,,2026-05-07,legislation,pending,,False,loss,advanced_unverified,none,recorded outcome 'loss' without finality evidence,"Same as above, for records coded as the project advancing.",https://www.kfvs12.com/2026/05/07/industry-experts-consumer-advocates-inform-missouri-lawmakers-risks-rewards-data-centers/
Ohio (tax exemption veto override effort),OH,,2026-03-01,legislation,active,,False,loss,advanced_unverified,none,recorded outcome 'loss' without finality evidence,"Same as above, for records coded as the project advancing.",https://www.statenews.org/government-politics/2026-03-05/ohio-gop-leaders-plan-override-of-dewines-veto-restoring-data-center-tax-break
Claremore,OK,Rogers County,2026-01-15,legislation,passed_one_chamber,passed_one_chamber,False,loss,advanced_unverified,none,recorded outcome 'loss' without finality evidence,"Same as above, for records coded as the project advancing.",https://www.newson6.com/tulsa-oklahoma-news/arrest-made-during-heated-claremore-meeting-over-proposed-data-center
Tennessee Legislature (HB1847/SB2128 data-center self-generation),TN,,2026-01-26,legislation,passed_pending_signature,passed_pending_signature,False,loss,advanced_unverified,none,recorded outcome 'loss' without finality evidence,"Same as above, for records coded as the project advancing.",https://wpln.org/post/elon-musks-xai-pollution-and-data-centers-what-you-need-to-know-about-a-tennessee-bill/
Virginia (DEQ diesel generator guidance),VA,,2025-12-17,legislation,introduced,introduced,False,loss,advanced_unverified,none,recorded outcome 'loss' without finality evidence,"Same as above, for records coded as the project advancing.",https://virginiamercury.com/2026/01/14/as-2026-legislative-session-starts-data-centers-diesel-generators-are-a-top-concern-for-virginians/
West Virginia (statewide),WV,,2026-01-01,legislation,introduced,introduced,False,loss,advanced_unverified,none,recorded outcome 'loss' without finality evidence,"Same as above, for records coded as the project advancing.",https://mountainstatespotlight.org/2026/02/25/lawmakers-block-data-center-bills/
Anchorage,AK,Anchorage Municipality,2026-03-27,conditional_zoning,passed,,False,win,restricted_conditional,terminal_status,recorded outcome 'win' but mechanism is conditional_zoning - a conditional restriction; the project was not stopped,"Confirm the restriction is conditional (not a full stop). If so, restricted_conditional is correct; if the project was actually halted, set Status to a terminal code so it regrades.",https://www.dwt.com/blogs/energy--environmental-law-blog/2026/04/anchorage-adopts-data-center-framework
Columbiana (Shelby County),AL,Shelby County,2026-02-17,conditional_zoning,passed,,False,win,restricted_conditional,terminal_status,recorded outcome 'win' but mechanism is conditional_zoning - a conditional restriction; the project was not stopped,"Confirm the restriction is conditional (not a full stop). If so, restricted_conditional is correct; if the project was actually halted, set Status to a terminal code so it regrades.",https://www.wbrc.com/2026/02/18/columbiana-passes-new-zoning-restrictions-data-centers/
"Little Rock (citywide data center regulations approved), AR",AR,Pulaski County,2026-06-03,conditional_zoning,passed,,False,win,restricted_conditional,terminal_status,recorded outcome 'win' but mechanism is conditional_zoning - a conditional restriction; the project was not stopped,"Confirm the restriction is conditional (not a full stop). If so, restricted_conditional is correct; if the project was actually halted, set Status to a terminal code so it regrades.",https://arkansasadvocate.com/2026/06/03/arkansas-largest-city-approves-new-data-center-ordinance/
"Fayetteville (data center conditional-use amendments proposed), AR",AR,Washington County,2026-06-16,conditional_zoning,passed,,False,win,restricted_conditional,terminal_status,recorded outcome 'win' but mechanism is conditional_zoning - a conditional restriction; the project was not stopped,"Confirm the restriction is conditional (not a full stop). If so, restricted_conditional is correct; if the project was actually halted, set Status to a terminal code so it regrades.",https://www.nwaonline.com/news/2026/jun/09/fayetteville-city-council-working-to-beef-up/
Mesa,AZ,Maricopa County,2025-07-08,conditional_zoning,passed,,False,win,restricted_conditional,terminal_status,recorded outcome 'win' but mechanism is conditional_zoning - a conditional restriction; the project was not stopped,"Confirm the restriction is conditional (not a full stop). If so, restricted_conditional is correct; if the project was actually halted, set Status to a terminal code so it regrades.",https://www.kjzz.org/business/2025-07-14/mesa-city-council-approves-new-data-center-zoning-rules
City of Chandler,AZ,Maricopa County,2025-12-12,conditional_zoning,failed,,False,win,restricted_conditional,terminal_status,recorded outcome 'win' but mechanism is conditional_zoning - a conditional restriction; the project was not stopped,"Confirm the restriction is conditional (not a full stop). If so, restricted_conditional is correct; if the project was actually halted, set Status to a terminal code so it regrades.",https://www.phoenixnewtimes.com/news/chandler-city-council-unanimously-kills-sinema-backed-data-center-40628102/
Maricopa County,AZ,Maricopa County,2025-12-10,conditional_zoning,passed,,False,win,restricted_conditional,terminal_status,recorded outcome 'win' but mechanism is conditional_zoning - a conditional restriction; the project was not stopped,"Confirm the restriction is conditional (not a full stop). If so, restricted_conditional is correct; if the project was actually halted, set Status to a terminal code so it regrades.",https://www.kjzz.org/business/2025-12-11/maricopa-county-is-the-latest-arizona-government-to-set-up-data-center-zoning-rules
City of Oakley,CA,Contra Costa County,2026-03-11,conditional_zoning,failed,,False,win,restricted_conditional,terminal_status,recorded outcome 'win' but mechanism is conditional_zoning - a conditional restriction; the project was not stopped,"Confirm the restriction is conditional (not a full stop). If so, restricted_conditional is correct; if the project was actually halted, set Status to a terminal code so it regrades.",https://www.kqed.org/news/12076074/oakley-drops-data-center-plans-approves-massive-industrial-project
Waterford / East Lyme,CT,New London County,2024-01-09,conditional_zoning,failed,,False,win,restricted_conditional,terminal_status,recorded outcome 'win' but mechanism is conditional_zoning - a conditional restriction; the project was not stopped,"Confirm the restriction is conditional (not a full stop). If so, restricted_conditional is correct; if the project was actually halted, set Status to a terminal code so it regrades.",https://www.theday.com/local-news/20240109/siting-council-deals-initial-blow-to-waterford-data-center-project/
New Castle County,DE,New Castle County,2026-02-04,conditional_zoning,active,,False,win,restricted_conditional,outcome_label_only,recorded outcome 'win' but mechanism is conditional_zoning - a conditional restriction; the project was not stopped,"Confirm the restriction is conditional (not a full stop). If so, restricted_conditional is correct; if the project was actually halted, set Status to a terminal code so it regrades.",https://www.delawarepublic.org/science-health-tech/2026-02-25/starwood-appeals-denial-of-permit-for-data-center-in-ncc
New Castle County,DE,New Castle County,2026-03-11,conditional_zoning,passed,,False,win,restricted_conditional,terminal_status,recorded outcome 'win' but mechanism is conditional_zoning - a conditional restriction; the project was not stopped,"Confirm the restriction is conditional (not a full stop). If so, restricted_conditional is correct; if the project was actually halted, set Status to a terminal code so it regrades.",https://spotlightdelaware.org/2026/03/19/new-data-center-regulations-go-into-effect-but-not-for-del-city-proposal/
Delaware (Coastal Zone Appeal),DE,,2026-03-26,conditional_zoning,failed,,False,win,restricted_conditional,terminal_status,recorded outcome 'win' but mechanism is conditional_zoning - a conditional restriction; the project was not stopped,"Confirm the restriction is conditional (not a full stop). If so, restricted_conditional is correct; if the project was actually halted, set Status to a terminal code so it regrades.",https://spotlightdelaware.org/2026/03/26/delaware-city-data-center-environmental-denial-upheld-by-state-board/
City of Atlanta,GA,Fulton County,2024-09-01,conditional_zoning,passed,,False,win,restricted_conditional,terminal_status,recorded outcome 'win' but mechanism is conditional_zoning - a conditional restriction; the project was not stopped,"Confirm the restriction is conditional (not a full stop). If so, restricted_conditional is correct; if the project was actually halted, set Status to a terminal code so it regrades.",https://www.gpb.org/news/2024/09/04/atlanta-city-council-bans-data-centers-along-beltline
Gilmer County,GA,Gilmer County,2024-11-01,conditional_zoning,passed,,False,win,restricted_conditional,terminal_status,recorded outcome 'win' but mechanism is conditional_zoning - a conditional restriction; the project was not stopped,"Confirm the restriction is conditional (not a full stop). If so, restricted_conditional is correct; if the project was actually halted, set Status to a terminal code so it regrades.",https://www.gpb.org/news/2025/12/04/the-costs-of-crypto-mining-in-georgia-will-it-be-regulated-along-new-data-center
Fayetteville,GA,Fayette County,2026-01-27,conditional_zoning,passed,,False,win,restricted_conditional,terminal_status,recorded outcome 'win' but mechanism is conditional_zoning - a conditional restriction; the project was not stopped,"Confirm the restriction is conditional (not a full stop). If so, restricted_conditional is correct; if the project was actually halted, set Status to a terminal code so it regrades.",https://thecitizen.com/2026/01/28/fayetteville-planning-commission-denies-data-center/
Carroll County,GA,Carroll County,2026-01-28,conditional_zoning,failed,,False,win,restricted_conditional,terminal_status,recorded outcome 'win' but mechanism is conditional_zoning - a conditional restriction; the project was not stopped,"Confirm the restriction is conditional (not a full stop). If so, restricted_conditional is correct; if the project was actually halted, set Status to a terminal code so it regrades.",https://www.change.org/p/stop-data-center-from-being-built-in-carroll-county-georgia
Adairsville area (Bartow County),GA,Bartow County,2025-04-28,conditional_zoning,failed,,False,win,restricted_conditional,terminal_status,recorded outcome 'win' but mechanism is conditional_zoning - a conditional restriction; the project was not stopped,"Confirm the restriction is conditional (not a full stop). If so, restricted_conditional is correct; if the project was actually halted, set Status to a terminal code so it regrades.",https://www.fox5atlanta.com/news/backlash-over-proposed-data-center-near-adairsville
Linn County,IA,Linn County,2026-03-01,conditional_zoning,passed,,False,win,restricted_conditional,terminal_status,recorded outcome 'win' but mechanism is conditional_zoning - a conditional restriction; the project was not stopped,"Confirm the restriction is conditional (not a full stop). If so, restricted_conditional is correct; if the project was actually halted, set Status to a terminal code so it regrades.",https://www.planetizen.com/news/2026/03/137049-iowa-county-passes-restrictive-data-center-ordinance
Pocatello,ID,Bannock County,2026-05-18,conditional_zoning,failed,,False,win,restricted_conditional,terminal_status,recorded outcome 'win' but mechanism is conditional_zoning - a conditional restriction; the project was not stopped,"Confirm the restriction is conditional (not a full stop). If so, restricted_conditional is correct; if the project was actually halted, set Status to a terminal code so it regrades.",https://www.idahostatejournal.com/news/local/pocatello-hearing-examiner-denies-hoku-site-data-center-permit-but-lex-developments-vows-return/article_c80a0e12-3fe8-4ed0-b755-89321377a95d.html
Naperville,IL,DuPage County,2026-01-21,conditional_zoning,failed,,False,win,restricted_conditional,terminal_status,recorded outcome 'win' but mechanism is conditional_zoning - a conditional restriction; the project was not stopped,"Confirm the restriction is conditional (not a full stop). If so, restricted_conditional is correct; if the project was actually halted, set Status to a terminal code so it regrades.",https://www.change.org/p/deny-the-proposed-data-centers
Aurora,IL,Kane County,2026-02-19,conditional_zoning,pending,,False,win,restricted_conditional,outcome_label_only,recorded outcome 'win' but mechanism is conditional_zoning - a conditional restriction; the project was not stopped,"Confirm the restriction is conditional (not a full stop). If so, restricted_conditional is correct; if the project was actually halted, set Status to a terminal code so it regrades.",https://www.chicagotribune.com/2026/02/19/aurora-considers-new-data-center-regulations-around-noise-water-and-power/
Yorkville,IL,Kendall County,2026-04-01,conditional_zoning,failed,,False,win,restricted_conditional,terminal_status,recorded outcome 'win' but mechanism is conditional_zoning - a conditional restriction; the project was not stopped,"Confirm the restriction is conditional (not a full stop). If so, restricted_conditional is correct; if the project was actually halted, set Status to a terminal code so it regrades.",https://www.shawlocal.com/kendall-county-now/2026/04/01/80-acre-data-center-near-caledonia-tabled-in-yorkville/
Town of Burns Harbor,IN,Porter County,2025-05-05,conditional_zoning,failed,,False,win,restricted_conditional,terminal_status,recorded outcome 'win' but mechanism is conditional_zoning - a conditional restriction; the project was not stopped,"Confirm the restriction is conditional (not a full stop). If so, restricted_conditional is correct; if the project was actually halted, set Status to a terminal code so it regrades.",https://www.chicagotribune.com/2024/08/06/burns-harbor-residents-blast-data-center-plan-plan-commission-meeting-on-sept-9-for-discussion/
St. Joseph County,IN,St. Joseph County,2025-12-10,conditional_zoning,failed,,False,win,restricted_conditional,terminal_status,recorded outcome 'win' but mechanism is conditional_zoning - a conditional restriction; the project was not stopped,"Confirm the restriction is conditional (not a full stop). If so, restricted_conditional is correct; if the project was actually halted, set Status to a terminal code so it regrades.",https://wsbt.com/news/local/st-joseph-county-council-denies-rezoning-of-land-for-data-center-votes-7-2-marathon-meeting-hours-long-public-opinion-13-billion-dollar-project-amazon-new-carlisle-approval-process-plan-commission-st-joseph-county-indiana
Lake County,IN,Lake County,2026-02-18,conditional_zoning,passed,,False,win,restricted_conditional,terminal_status,recorded outcome 'win' but mechanism is conditional_zoning - a conditional restriction; the project was not stopped,"Confirm the restriction is conditional (not a full stop). If so, restricted_conditional is correct; if the project was actually halted, set Status to a terminal code so it regrades.",https://www.insideindianabusiness.com/articles/another-potential-data-center-entering-lake-county
Kosciusko County (Leesburg),IN,Kosciusko County,2025-04-22,conditional_zoning,failed,,False,win,restricted_conditional,terminal_status,recorded outcome 'win' but mechanism is conditional_zoning - a conditional restriction; the project was not stopped,"Confirm the restriction is conditional (not a full stop). If so, restricted_conditional is correct; if the project was actually halted, set Status to a terminal code so it regrades.",https://www.datacenterdynamics.com/en/news/prologis-data-center-proposal-in-kosciusko-county-indiana-denied/
Clinton County (Frankfort),IN,Clinton County,2025-12-01,conditional_zoning,failed,,False,win,restricted_conditional,terminal_status,recorded outcome 'win' but mechanism is conditional_zoning - a conditional restriction; the project was not stopped,"Confirm the restriction is conditional (not a full stop). If so, restricted_conditional is correct; if the project was actually halted, set Status to a terminal code so it regrades.",https://www.wthr.com/article/news/local/clinton-county-commissioners-reject-data-center-project-over-growing-concerns-rezoning-plan-proposal/531-30cc9c05-69e5-4fb6-b510-78929ce6751b
Jay County,IN,Jay County,2026-05-11,conditional_zoning,passed,,False,win,restricted_conditional,terminal_status,recorded outcome 'win' but mechanism is conditional_zoning - a conditional restriction; the project was not stopped,"Confirm the restriction is conditional (not a full stop). If so, restricted_conditional is correct; if the project was actually halted, set Status to a terminal code so it regrades.",https://www.thecr.com/news/rules-approved-for-data-centers-and-battery-storage/article_d1e08843-27f1-4d1a-8ef3-742607be0bad.html
City of Holyoke,MA,Hampden,2026-06-18,conditional_zoning,passed,,False,win,restricted_conditional,terminal_status,recorded outcome 'win' but mechanism is conditional_zoning - a conditional restriction; the project was not stopped,"Confirm the restriction is conditional (not a full stop). If so, restricted_conditional is correct; if the project was actually halted, set Status to a terminal code so it regrades.",https://gazettenet.com/2026/06/17/holyoke-first-in-state-to-ban-development-of-ai-data-centers/
Lewiston,ME,Androscoggin County,2025-12-16,conditional_zoning,failed,,False,win,restricted_conditional,terminal_status,recorded outcome 'win' but mechanism is conditional_zoning - a conditional restriction; the project was not stopped,"Confirm the restriction is conditional (not a full stop). If so, restricted_conditional is correct; if the project was actually halted, set Status to a terminal code so it regrades.",https://www.mainepublic.org/business-and-economy/2025-12-17/lewiston-city-council-shoots-down-data-center-proposal
City of Mason,MI,Ingham County,2026-02-03,conditional_zoning,resolved,,False,win,restricted_conditional,terminal_status,recorded outcome 'win' but mechanism is conditional_zoning - a conditional restriction; the project was not stopped,"Confirm the restriction is conditional (not a full stop). If so, restricted_conditional is correct; if the project was actually halted, set Status to a terminal code so it regrades.",https://www.fox47news.com/news/state/mason-city-council-votes-to-repeal-data-center-ordinance-leaving-citys-future-regulation-unclear
Gaines Charter Township,MI,Kent County,2026-03-03,conditional_zoning,failed,,False,win,restricted_conditional,terminal_status,recorded outcome 'win' but mechanism is conditional_zoning - a conditional restriction; the project was not stopped,"Confirm the restriction is conditional (not a full stop). If so, restricted_conditional is correct; if the project was actually halted, set Status to a terminal code so it regrades.",https://www.cnbc.com/2026/01/07/microsoft-behind-controversial-data-center-in-michigan-township.html
Saline Township Planning Commission,MI,Washtenaw County,2025-08-12,conditional_zoning,failed,,False,win,restricted_conditional,terminal_status,recorded outcome 'win' but mechanism is conditional_zoning - a conditional restriction; the project was not stopped,"Confirm the restriction is conditional (not a full stop). If so, restricted_conditional is correct; if the project was actually halted, set Status to a terminal code so it regrades.",https://planetdetroit.org/2025/09/saline-denies-data-center/
Saline Township Board (rezoning denial),MI,Washtenaw County,2025-09-10,conditional_zoning,failed,,False,win,restricted_conditional,terminal_status,recorded outcome 'win' but mechanism is conditional_zoning - a conditional restriction; the project was not stopped,"Confirm the restriction is conditional (not a full stop). If so, restricted_conditional is correct; if the project was actually halted, set Status to a terminal code so it regrades.",https://planetdetroit.org/2025/09/saline-denies-data-center/
Nobles County,MN,Nobles County,2026-04-21,conditional_zoning,failed,,False,win,restricted_conditional,terminal_status,recorded outcome 'win' but mechanism is conditional_zoning - a conditional restriction; the project was not stopped,"Confirm the restriction is conditional (not a full stop). If so, restricted_conditional is correct; if the project was actually halted, set Status to a terminal code so it regrades.",https://www.wctrib.com/news/minnesota/nobles-county-planning-commission-votes-to-keep-data-center-out-of-ag-preservation-area
Apple Valley,MN,Dakota County,2026-03-18,conditional_zoning,failed,,False,win,restricted_conditional,terminal_status,recorded outcome 'win' but mechanism is conditional_zoning - a conditional restriction; the project was not stopped,"Confirm the restriction is conditional (not a full stop). If so, restricted_conditional is correct; if the project was actually halted, set Status to a terminal code so it regrades.",https://www.limitless-news.com/local/apple-valley-technology-park-update
City of Peculiar,MO,Cass County,2024-10-01,conditional_zoning,failed,,False,win,restricted_conditional,terminal_status,recorded outcome 'win' but mechanism is conditional_zoning - a conditional restriction; the project was not stopped,"Confirm the restriction is conditional (not a full stop). If so, restricted_conditional is correct; if the project was actually halted, set Status to a terminal code so it regrades.",https://www.kshb.com/news/local-news/peculiar-reverses-zoning-for-data-center-after-cries-from-neighbors
Columbia,MO,Boone County,2025-11-19,conditional_zoning,failed,,False,win,restricted_conditional,terminal_status,recorded outcome 'win' but mechanism is conditional_zoning - a conditional restriction; the project was not stopped,"Confirm the restriction is conditional (not a full stop). If so, restricted_conditional is correct; if the project was actually halted, set Status to a terminal code so it regrades.",https://www.komu.com/news/midmissourinews/missouri-leadership-pushes-data-center-development-despite-electricity-environmental-fears/article_73d1d49a-b2d2-4d9d-8187-0e891f613f52.html
Kansas City,MO,Jackson County,2026-01-16,conditional_zoning,active,,False,win,restricted_conditional,outcome_label_only,recorded outcome 'win' but mechanism is conditional_zoning - a conditional restriction; the project was not stopped,"Confirm the restriction is conditional (not a full stop). If so, restricted_conditional is correct; if the project was actually halted, set Status to a terminal code so it regrades.",https://www.kcur.org/housing-development-section/2026-01-16/kansas-city-zoning-data-centers
Mooresville,NC,Iredell County,2025-08-13,conditional_zoning,failed,,False,win,restricted_conditional,terminal_status,recorded outcome 'win' but mechanism is conditional_zoning - a conditional restriction; the project was not stopped,"Confirm the restriction is conditional (not a full stop). If so, restricted_conditional is correct; if the project was actually halted, set Status to a terminal code so it regrades.",https://www.nbcnews.com/news/us-news/dale-earnhardt-widow-son-battle-data-center-mooresville-north-carolina-rcna223895
Town of Tarboro,NC,Edgecombe County,2025-09-15,conditional_zoning,failed,,False,win,restricted_conditional,terminal_status,recorded outcome 'win' but mechanism is conditional_zoning - a conditional restriction; the project was not stopped,"Confirm the restriction is conditional (not a full stop). If so, restricted_conditional is correct; if the project was actually halted, set Status to a terminal code so it regrades.",https://www.cbs17.com/news/local-news/tarboro-data-center-project-appeals-rejection-by-town-council-saying-site-would-generate-11-million-per-year-in-revenue/
Moorestown,NJ,Burlington County,2025-10-31,conditional_zoning,failed,,False,win,restricted_conditional,terminal_status,recorded outcome 'win' but mechanism is conditional_zoning - a conditional restriction; the project was not stopped,"Confirm the restriction is conditional (not a full stop). If so, restricted_conditional is correct; if the project was actually halted, set Status to a terminal code so it regrades.",https://southjersey.media/moorestown-news/redevelopment-in-town/
New Brunswick,NJ,Middlesex County,2026-02-19,conditional_zoning,passed,,False,win,restricted_conditional,terminal_status,recorded outcome 'win' but mechanism is conditional_zoning - a conditional restriction; the project was not stopped,"Confirm the restriction is conditional (not a full stop). If so, restricted_conditional is correct; if the project was actually halted, set Status to a terminal code so it regrades.",https://www.commondreams.org/news/new-brunswick-ai-data-center
Phillipsburg,NJ,Warren County,2026-02-25,conditional_zoning,passed,,False,win,restricted_conditional,terminal_status,recorded outcome 'win' but mechanism is conditional_zoning - a conditional restriction; the project was not stopped,"Confirm the restriction is conditional (not a full stop). If so, restricted_conditional is correct; if the project was actually halted, set Status to a terminal code so it regrades.",https://www.tapinto.net/towns/phillipsburg/sections/government/articles/phillipsburg-to-vote-to-ban-data-centers-citing-major-energy-and-water-demands
East Windsor,NJ,Mercer County,2025-11-25,conditional_zoning,failed,,False,win,restricted_conditional,terminal_status,recorded outcome 'win' but mechanism is conditional_zoning - a conditional restriction; the project was not stopped,"Confirm the restriction is conditional (not a full stop). If so, restricted_conditional is correct; if the project was actually halted, set Status to a terminal code so it regrades.",https://www.tapinto.net/towns/east-windsor-hightstown/sections/government/articles/east-windsor-council-votes-down-redevelopment-plan-after-rambunctious-residents-raise-questions-about-data-center-component
Phillipsburg (data center ban),NJ,Warren County,2026-03-26,conditional_zoning,passed,,False,win,restricted_conditional,terminal_status,recorded outcome 'win' but mechanism is conditional_zoning - a conditional restriction; the project was not stopped,"Confirm the restriction is conditional (not a full stop). If so, restricted_conditional is correct; if the project was actually halted, set Status to a terminal code so it regrades.",https://www.tapinto.net/towns/phillipsburg/sections/government/articles/phillipsburg-council-votes-unanimously-to-shut-the-door-on-data-centers
Neptune Township,NJ,Monmouth County,2026-07-13,conditional_zoning,passed,,False,win,restricted_conditional,terminal_status,recorded outcome 'win' but mechanism is conditional_zoning - a conditional restriction; the project was not stopped,"Confirm the restriction is conditional (not a full stop). If so, restricted_conditional is correct; if the project was actually halted, set Status to a terminal code so it regrades.",https://www.roi-nj.com/2026/07/14/industry/energy-utilities/neptune-township-becomes-25th-n-j-municipality-to-ban-data-centers/
Bernalillo County,NM,Bernalillo County,2026-02-11,conditional_zoning,passed,,False,win,restricted_conditional,terminal_status,recorded outcome 'win' but mechanism is conditional_zoning - a conditional restriction; the project was not stopped,"Confirm the restriction is conditional (not a full stop). If so, restricted_conditional is correct; if the project was actually halted, set Status to a terminal code so it regrades.",https://www.bernco.gov/blog/2026/02/11/data-center-project-guardrails-resolution-approved-by-bernalillo-county-commission/
Doña Ana County (Project Jupiter pipeline),NM,Doña Ana County,2026-03-20,conditional_zoning,failed,,False,win,restricted_conditional,terminal_status,recorded outcome 'win' but mechanism is conditional_zoning - a conditional restriction; the project was not stopped,"Confirm the restriction is conditional (not a full stop). If so, restricted_conditional is correct; if the project was actually halted, set Status to a terminal code so it regrades.",https://sourcenm.com/2026/03/31/nm-state-land-commissioner-rejects-application-for-gas-pipeline-to-power-project-jupiter-data-center/
Town of Dryden,NY,Tompkins County,2026-02-19,conditional_zoning,passed,,False,win,restricted_conditional,terminal_status,recorded outcome 'win' but mechanism is conditional_zoning - a conditional restriction; the project was not stopped,"Confirm the restriction is conditional (not a full stop). If so, restricted_conditional is correct; if the project was actually halted, set Status to a terminal code so it regrades.",https://ithacavoice.org/2026/02/the-town-of-dryden-just-banned-data-centers-heres-why/
Cincinnati,OH,Hamilton County,2026-02-06,conditional_zoning,passed,,False,win,restricted_conditional,terminal_status,recorded outcome 'win' but mechanism is conditional_zoning - a conditional restriction; the project was not stopped,"Confirm the restriction is conditional (not a full stop). If so, restricted_conditional is correct; if the project was actually halted, set Status to a terminal code so it regrades.",https://www.wvxu.org/politics/2026-02-06/cincinnati-regulate-data-centers-zoning-code
St. Albans Township,OH,Licking County,2026-03-10,conditional_zoning,passed,,False,win,restricted_conditional,terminal_status,recorded outcome 'win' but mechanism is conditional_zoning - a conditional restriction; the project was not stopped,"Confirm the restriction is conditional (not a full stop). If so, restricted_conditional is correct; if the project was actually halted, set Status to a terminal code so it regrades.",https://www.thereportingproject.org/hearing-on-proposed-data-center-ban-in-st-albans-township-will-be-on-march-17-in-alexandria/
Dublin City Council (West Innovation District rezoning),OH,Franklin County,2026-07-01,conditional_zoning,passed,,False,win,restricted_conditional,terminal_status,recorded outcome 'win' but mechanism is conditional_zoning - a conditional restriction; the project was not stopped,"Confirm the restriction is conditional (not a full stop). If so, restricted_conditional is correct; if the project was actually halted, set Status to a terminal code so it regrades.",https://www.thewestervillenews.com/p/central-ohio-weekly-news-brief-june-3b1
